,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
67,30/09/2007,"R$ 214,43 B","R$ 12,84 B","R$ 4,03",1.210.037.000,1.979.866.000,1.979.866.000,3.189.903.000,0,11.974.000,11.974.000,11.974.000,1.210.037.000,1.967.892.000,3.177.929.000,3
68,30/06/2007,"R$ 211,78 B","R$ 12,22 B","R$ 3,83",1.210.037.000,1.979.866.000,1.979.866.000,3.189.903.000,0,0,0,0,1.210.037.000,1.979.866.000,3.189.903.000,3
69,31/03/2007,"R$ 177,00 B","R$ 10,87 B","R$ 3,41",1.210.037.000,1.979.866.000,1.979.866.000,3.189.903.000,0,0,0,0,1.210.037.000,1.979.866.000,3.189.903.000,3
70,31/12/2006,"R$ 167,32 B","R$ 10,28 B","R$ 3,16",1.215.752.000,2.033.807.000,2.033.807.000,3.249.559.000,10.983.000,62.562.000,62.562.000,73.545.000,1.204.769.000,1.971.245.000,3.176.014.000,3
71,30/09/2006,"R$ 155,15 B","R$ 9,75 B","R$ 3,00",1.215.752.000,2.033.807.000,2.033.807.000,3.249.559.000,10.983.000,62.562.000,62.562.000,73.545.000,1.204.769.000,1.971.245.000,3.176.014.000,3
72,30/06/2006,"R$ 148,77 B","R$ 9,62 B","R$ 2,96",1.215.752.000,2.033.807.000,2.033.807.000,3.249.559.000,1.022.000,53.287.000,53.287.000,54.309.000,1.214.730.000,1.980.520.000,3.195.250.000,3
73,31/03/2006,"R$ 148,67 B","R$ 9,59 B","R$ 2,95",1.215.752.000,2.033.807.000,2.033.807.000,3.249.559.000,0,16.251.000,16.251.000,16.251.000,1.215.752.000,2.017.556.000,3.233.308.000,3
74,31/12/2005,"R$ 150,35 B","R$ 9,20 B","R$ 2,83",1.206.399.000,2.046.936.000,2.046.936.000,3.253.335.000,0,28.776.000,28.776.000,28.776.000,1.206.399.000,2.018.160.000,3.224.559.000,3
75,30/09/2005,"R$ 134,23 B","R$ 8,88 B","R$ 2,73",1.206.399.000,2.046.936.000,2.046.936.000,3.253.335.000,0,28.776.000,28.776.000,28.776.000,1.206.399.000,2.018.160.000,3.224.559.000,3
76,30/06/2005,"R$ 142,38 B","R$ 8,55 B","R$ 2,63",1.206.399.000,2.046.936.000,2.046.936.000,3.253.335.000,0,28.776.000,28.776.000,28.776.000,1.206.399.000,2.018.160.000,3.224.559.000,3
